timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2002-07-26,82.67,82.8,82.42,82.51,43.5503,316300,0.0,1.0
2002-07-29,82.06,82.16,81.32,81.42,42.975,8400,0.0,1.0
2002-07-30,81.75,81.9,81.52,81.52,43.0278,6100,0.0,1.0
2002-07-31,81.95,82.8,81.9,82.53,43.5609,29400,0.0,1.0
2002-08-01,82.54,83.02,82.54,83.0,43.8089,25000,0.0,1.0
2002-08-02,83.16,84.1,82.88,83.85,44.2576,52800,0.0,1.0
2002-08-05,84.04,84.44,83.85,84.22,44.4529,61100,0.0,1.0
2002-08-06,83.8,83.9,83.22,83.5,44.0729,64900,0.0,1.0
2002-08-07,83.6,84.14,83.36,83.7,44.1784,40300,0.0,1.0
2002-08-08,83.58,83.77,83.36,83.7,44.1784,40900,0.0,1.0
2002-08-09,84.0,84.88,84.0,84.88,44.8012,35900,0.0,1.0
2002-08-12,85.3,86.7,85.14,85.4,45.0757,32100,0.0,1.0
2002-08-13,85.78,86.47,85.37,86.45,45.6299,74300,0.0,1.0
2002-08-14,87.46,87.9,86.75,86.78,45.8041,130000,0.0,1.0
2002-08-15,86.38,86.5,85.85,86.02,45.403,87100,0.0,1.0
2002-08-16,86.44,86.52,84.82,85.06,44.8962,85000,0.0,1.0
2002-08-19,85.05,85.34,84.71,85.32,45.0335,47300,0.0,1.0
2002-08-20,85.62,86.29,85.6,86.27,45.5349,40800,0.0,1.0
2002-08-21,85.68,86.1,85.63,85.81,45.2921,40000,0.0,1.0
2002-08-22,85.55,85.55,85.06,85.06,44.8962,34400,0.0,1.0
2002-08-23,85.2,85.95,85.2,85.9,45.3396,20100,0.0,1.0
2002-08-26,85.7,86.21,85.67,85.98,45.3818,23900,0.0,1.0
2002-08-27,85.4,85.68,85.2,85.44,45.0968,301800,0.0,1.0
2002-08-28,86.04,86.18,85.84,85.87,45.3238,18100,0.0,1.0
2002-08-29,86.76,86.86,86.35,86.56,45.688,135700,0.0,1.0
2002-08-30,86.75,87.13,86.45,87.08,45.9624,78100,0.0,1.0
2002-09-03,87.08,88.04,87.0,88.04,46.6658,102100,0.3726,1.0
2002-09-04,88.03,88.3,87.84,88.02,46.6552,66300,0.0,1.0
2002-09-05,88.57,88.65,87.38,88.5,46.9096,648400,0.0,1.0
2002-09-06,87.97,88.19,87.2,87.46,46.3584,140000,0.0,1.0
2002-09-09,87.5,87.83,87.26,87.33,46.2895,83800,0.0,1.0
2002-09-10,87.17,88.0,87.0,87.75,46.5121,336000,0.0,1.0
2002-09-11,87.0,87.3,86.75,87.29,46.2683,177700,0.0,1.0
2002-09-12,87.48,88.14,87.47,87.97,46.6287,43400,0.0,1.0
2002-09-13,88.33,88.94,88.18,88.78,47.0581,155100,0.0,1.0
2002-09-16,89.2,89.22,88.9,88.93,47.1376,73000,0.0,1.0
2002-09-17,88.64,89.32,88.36,89.1,47.2277,75400,0.0,1.0
2002-09-18,89.46,89.56,89.02,89.12,47.2383,196600,0.0,1.0
2002-09-19,89.7,89.77,89.26,89.72,47.5563,109900,0.0,1.0
2002-09-20,89.45,89.52,89.06,89.3,47.3337,113500,0.0,1.0
2002-09-23,90.0,90.24,89.77,90.1,47.7577,163200,0.0,1.0
2002-09-24,90.3,90.94,90.21,90.68,48.0652,251900,0.0,1.0
2002-09-25,90.1,90.36,89.26,89.58,47.4821,127200,0.0,1.0
2002-09-26,89.05,89.53,88.61,89.37,47.3708,428600,0.0,1.0
2002-09-27,89.53,90.04,89.48,90.04,47.7259,298200,0.0,1.0
2002-09-30,90.66,90.9,90.08,90.4,47.9167,297800,0.0,1.0
2002-10-01,89.16,89.3,88.8,88.94,47.3245,257500,0.3427,1.0
2002-10-02,89.24,89.48,88.84,89.45,47.5959,91000,0.0,1.0
2002-10-03,89.3,89.51,88.8,89.23,47.4788,29900,0.0,1.0
2002-10-04,88.4,89.72,88.4,89.51,47.6278,131000,0.0,1.0
2002-10-07,89.9,89.96,89.46,89.66,47.7076,433800,0.0,1.0
2002-10-08,89.5,90.52,89.32,89.69,47.7236,530900,0.0,1.0
2002-10-09,90.3,90.38,89.95,90.15,47.9683,402900,0.0,1.0
2002-10-10,90.17,90.17,89.28,89.44,47.5906,97100,0.0,1.0
2002-10-11,89.1,89.22,88.06,88.38,47.0265,421800,0.0,1.0
2002-10-14,88.5,88.55,88.07,88.25,46.9574,18300,0.0,1.0
2002-10-15,87.0,87.3,86.15,86.16,45.8453,297100,0.0,1.0
2002-10-16,86.6,86.6,85.89,86.2,45.8666,125200,0.0,1.0
2002-10-17,85.14,85.56,85.07,85.15,45.3079,233400,0.0,1.0
2002-10-18,85.02,85.39,84.28,85.37,45.4249,459100,0.0,1.0
2002-10-21,85.5,85.6,84.5,84.54,44.9833,134900,0.0,1.0
2002-10-22,84.85,84.85,84.22,84.3,44.8556,215800,0.0,1.0
2002-10-23,84.75,85.2,84.18,84.33,44.8716,127900,0.0,1.0
2002-10-24,84.16,85.25,84.08,85.07,45.2653,339600,0.0,1.0
2002-10-25,85.35,85.56,85.15,85.38,45.4303,146100,0.0,1.0
2002-10-28,85.56,85.64,85.2,85.26,45.3664,97800,0.0,1.0
2002-10-29,85.82,86.89,85.77,86.37,45.957,125000,0.0,1.0
2002-10-30,86.37,86.68,86.07,86.34,45.9411,31900,0.0,1.0
2002-10-31,86.05,86.86,86.02,86.73,46.1486,512700,0.0,1.0
2002-11-01,86.3,86.93,85.25,85.98,45.9564,125100,0.3888,1.0
2002-11-04,85.48,85.75,85.25,85.6,45.7533,342500,0.0,1.0
2002-11-05,85.6,85.6,85.09,85.27,45.5769,73800,0.0,1.0
2002-11-06,85.05,86.13,84.91,85.61,45.7586,118500,0.0,1.0
2002-11-07,87.05,87.73,86.85,87.73,46.8918,147900,0.0,1.0
2002-11-08,88.4,88.65,87.95,88.44,47.2713,294700,0.0,1.0
2002-11-11,88.55,88.92,88.4,88.92,47.5278,70000,0.0,1.0
2002-11-12,89.15,89.15,88.37,88.41,47.2552,494300,0.0,1.0
2002-11-13,88.45,88.69,87.96,88.6,47.3568,104700,0.0,1.0
2002-11-14,87.65,87.65,86.76,86.76,46.3733,118000,0.0,1.0
2002-11-15,86.54,87.23,86.26,87.11,46.5604,110700,0.0,1.0
2002-11-18,87.02,87.63,86.96,87.5,46.7688,32200,0.0,1.0
2002-11-19,87.95,88.23,87.51,87.82,46.9399,51800,0.0,1.0
2002-11-20,88.2,88.22,86.81,86.96,46.4802,307400,0.0,1.0
2002-11-21,86.5,86.5,85.86,86.12,46.0312,323200,0.0,1.0
2002-11-22,86.33,86.39,85.88,86.04,45.9885,184800,0.0,1.0
2002-11-25,86.0,86.38,85.8,85.88,45.9029,288200,0.0,1.0
2002-11-26,86.2,87.02,86.15,86.96,46.4802,377800,0.0,1.0
2002-11-27,86.25,86.33,84.96,85.0,45.4326,325600,0.0,1.0
2002-11-29,85.16,85.63,85.14,85.55,45.7266,31700,0.0,1.0
2002-12-02,84.36,85.4,84.15,85.24,45.769,284900,0.3895,1.0
2002-12-03,85.7,85.7,85.12,85.36,45.8335,113800,0.0,1.0
2002-12-04,85.9,86.0,85.55,85.8,46.0697,129000,0.0,1.0
2002-12-05,85.28,86.28,85.26,86.02,46.1879,206400,0.0,1.0
2002-12-06,87.0,87.09,85.76,86.17,46.2684,440500,0.0,1.0
2002-12-09,86.2,86.85,86.17,86.65,46.5261,400300,0.0,1.0
2002-12-10,86.61,86.93,86.5,86.88,46.6496,151600,0.0,1.0
2002-12-11,87.15,87.65,86.96,87.46,46.9611,163800,0.0,1.0
2002-12-12,87.06,87.6,87.06,87.38,46.9181,135800,0.0,1.0
2002-12-13,87.14,87.16,86.53,86.53,46.4617,425800,0.0,1.0
2002-12-16,86.9,86.9,85.84,85.88,46.1127,115700,0.0,1.0
2002-12-17,86.3,86.35,85.68,85.88,46.1127,290600,0.0,1.0
2002-12-18,86.48,86.69,86.25,86.55,46.4724,191000,0.0,1.0
2002-12-19,86.8,87.49,86.65,87.32,46.8859,134400,0.0,1.0
2002-12-20,87.23,87.56,87.15,87.38,46.9181,41900,0.0,1.0
2002-12-23,87.36,87.4,86.25,87.4,46.9288,74200,0.0,1.0
2002-12-24,88.0,88.08,87.84,87.89,47.1919,46600,0.0,1.0
2002-12-26,87.9,88.06,87.73,88.06,47.2832,13500,0.0,1.0
2002-12-27,88.55,89.03,88.28,89.03,47.8041,140200,0.0,1.0
2002-12-30,88.9,89.24,88.63,89.24,47.9168,274900,0.0,1.0
2002-12-31,88.95,89.33,88.32,88.57,47.7967,109400,0.4463,1.0
2003-01-02,87.7,87.9,86.21,86.28,46.5609,192100,0.0,1.0
2003-01-03,86.15,86.54,85.83,86.48,46.6688,311200,0.0,1.0
2003-01-06,86.17,86.29,85.81,86.25,46.5447,35600,0.0,1.0
2003-01-07,86.19,86.75,86.17,86.56,46.712,69800,0.0,1.0
2003-01-08,86.88,87.14,86.78,86.99,46.9441,160100,0.0,1.0
2003-01-09,86.17,86.17,85.02,85.32,46.0428,237500,0.0,1.0
2003-01-10,85.92,85.92,85.12,85.54,46.1616,145200,0.0,1.0
2003-01-13,85.54,85.87,85.4,85.68,46.2371,53300,0.0,1.0
2003-01-14,86.0,86.28,85.96,85.98,46.399,98900,0.0,1.0
2003-01-15,86.28,86.7,86.2,86.4,46.6257,129600,0.0,1.0
2003-01-16,86.38,86.6,85.62,86.52,46.6904,57900,0.0,1.0
2003-01-17,87.1,87.24,86.93,86.95,46.9225,97700,0.0,1.0
2003-01-21,86.88,87.45,86.8,87.45,47.1923,107500,0.0,1.0
2003-01-22,87.68,87.9,87.52,87.88,47.4243,106800,0.0,1.0
2003-01-23,87.32,87.7,87.3,87.45,47.1923,110700,0.0,1.0
2003-01-24,87.74,88.44,87.74,87.97,47.4729,285300,0.0,1.0
2003-01-27,87.9,88.04,87.5,87.65,47.3002,150500,0.0,1.0
2003-01-28,87.65,87.78,87.1,87.65,47.3002,454700,0.0,1.0
2003-01-29,87.65,87.78,87.1,87.65,47.3002,454700,0.0,1.0
2003-01-30,87.2,87.9,87.1,87.82,47.392,108600,0.0,1.0
2003-01-31,87.9,88.21,87.54,88.06,47.5215,182300,0.0,1.0
2003-02-03,87.67,87.91,87.31,87.88,47.5903,55200,0.3076,1.0
2003-02-04,88.37,88.4,88.11,88.27,47.8015,56900,0.0,1.0
2003-02-05,88.23,88.7,87.43,87.51,47.39,222700,0.0,1.0
2003-02-06,87.84,88.26,87.79,88.22,47.7745,120900,0.0,1.0
2003-02-07,87.77,88.52,87.63,88.42,47.8828,247200,0.0,1.0
2003-02-10,88.12,88.4,87.69,87.8,47.547,76600,0.0,1.0
2003-02-11,87.6,87.91,87.43,87.78,47.5362,259100,0.0,1.0
2003-02-12,87.8,88.13,87.67,88.09,47.7041,121300,0.0,1.0
2003-02-13,88.27,89.18,88.17,88.57,47.964,440200,0.0,1.0
2003-02-14,88.3,88.37,87.61,87.81,47.5524,829700,0.0,1.0
2003-02-18,87.56,87.98,87.34,87.92,47.612,213200,0.0,1.0
2003-02-19,88.39,88.7,88.25,88.52,47.9369,62100,0.0,1.0
2003-02-20,88.34,88.9,88.34,88.82,48.0994,486700,0.0,1.0
2003-02-21,88.56,88.72,88.21,88.3,47.8178,250400,0.0,1.0
2003-02-24,88.88,88.9,88.62,88.72,48.0452,168200,0.0,1.0
2003-02-25,89.4,89.65,89.0,89.13,48.2673,358500,0.0,1.0
2003-02-26,89.38,89.75,89.15,89.75,48.603,334000,0.0,1.0
2003-02-27,89.46,89.99,89.31,89.9,48.6842,695700,0.0,1.0
2003-02-28,89.68,90.54,89.58,90.47,48.9929,213300,0.0,1.0
2003-03-03,90.0,90.45,89.91,90.24,49.0527,204100,0.3403,1.0
2003-03-04,90.13,90.45,90.02,90.3,49.0853,82700,0.0,1.0
2003-03-05,90.62,90.63,90.04,90.6,49.2483,126000,0.0,1.0
2003-03-06,90.55,90.68,90.06,90.25,49.0581,166000,0.0,1.0
2003-03-07,90.72,90.79,90.05,90.56,49.2266,263800,0.0,1.0
2003-03-10,90.81,91.03,90.68,91.03,49.4821,147200,0.0,1.0
2003-03-11,90.99,91.16,90.73,90.87,49.3951,82800,0.0,1.0
2003-03-12,90.92,91.36,90.88,91.2,49.5745,454800,0.0,1.0
2003-03-13,90.15,90.39,89.52,89.52,48.6613,829200,0.0,1.0
2003-03-14,89.9,90.12,89.62,89.96,48.9005,590900,0.0,1.0
2003-03-17,90.52,90.52,88.86,88.88,48.3134,724400,0.0,1.0
2003-03-18,88.96,89.2,88.01,88.04,47.8568,415200,0.0,1.0
2003-03-19,88.04,88.07,87.33,87.39,47.5035,398400,0.0,1.0
2003-03-20,87.82,87.95,86.76,87.25,47.4274,206700,0.0,1.0
2003-03-21,86.92,87.05,86.05,86.05,46.7751,843400,0.0,1.0
2003-03-24,87.1,87.6,86.85,87.41,47.5143,373800,0.0,1.0
2003-03-25,87.65,87.82,86.9,87.31,47.46,606400,0.0,1.0
2003-03-26,87.25,87.65,87.25,87.49,47.5578,309500,0.0,1.0
2003-03-27,87.75,87.87,87.33,87.55,47.5904,191600,0.0,1.0
2003-03-28,87.92,88.08,87.72,87.75,47.6991,253400,0.0,1.0
2003-03-31,88.3,88.93,88.3,88.9,48.3243,643800,0.0,1.0
2003-04-01,88.4,88.79,87.9,88.27,48.1872,289800,0.3779,1.0
2003-04-02,87.65,87.7,87.28,87.35,47.685,312200,0.0,1.0
2003-04-03,87.25,87.58,87.14,87.3,47.6577,245600,0.0,1.0
2003-04-04,87.06,87.3,86.88,87.05,47.5212,184900,0.0,1.0
2003-04-07,86.22,86.86,85.92,86.85,47.412,485400,0.0,1.0
2003-04-08,87.05,87.59,86.99,87.55,47.7942,194700,0.0,1.0
2003-04-09,87.4,87.86,87.17,87.81,47.9361,102400,0.0,1.0
2003-04-10,87.75,87.85,87.35,87.4,47.7123,53300,0.0,1.0
2003-04-11,86.82,87.32,86.59,87.26,47.6359,450000,0.0,1.0
2003-04-14,87.1,87.11,86.71,87.02,47.5048,207100,0.0,1.0
2003-04-15,87.33,87.53,87.04,87.49,47.7614,128500,0.0,1.0
2003-04-16,87.53,87.9,87.47,87.85,47.9579,97700,0.0,1.0
2003-04-17,88.24,88.4,87.8,87.99,48.0344,106200,0.0,1.0
2003-04-21,87.48,87.83,87.26,87.8,47.9306,148000,0.0,1.0
2003-04-22,88.15,88.26,87.62,87.75,47.9034,299900,0.0,1.0
2003-04-23,87.78,88.01,87.6,87.93,48.0016,42700,0.0,1.0
2003-04-24,88.4,88.99,88.4,88.72,48.4329,199000,0.0,1.0
2003-04-25,88.75,89.1,88.68,88.92,48.5421,529700,0.0,1.0
2003-04-28,89.09,89.09,88.78,88.78,48.4656,80500,0.0,1.0
2003-04-29,88.53,88.77,88.32,88.63,48.3837,177500,0.0,1.0
2003-04-30,88.79,89.52,88.72,89.45,48.8314,294100,0.0,1.0
2003-05-01,89.2,89.6,88.8,89.02,48.8549,231200,0.473,1.0
2003-05-02,89.06,89.07,88.27,88.32,48.4707,231500,0.0,1.0
2003-05-05,88.54,88.87,88.2,88.79,48.7286,77700,0.0,1.0
2003-05-06,88.84,89.4,88.52,89.23,48.9701,260600,0.0,1.0
2003-05-07,90.0,90.33,89.82,90.27,49.5409,306900,0.0,1.0
2003-05-08,90.6,90.9,90.28,90.49,49.6616,437400,0.0,1.0
2003-05-09,90.3,90.62,90.2,90.58,49.711,110000,0.0,1.0
2003-05-12,91.14,91.19,90.73,91.15,50.0238,364700,0.0,1.0
2003-05-13,90.9,91.37,90.83,91.35,50.1336,227800,0.0,1.0
2003-05-14,91.83,92.98,91.62,92.75,50.9019,1426500,0.0,1.0
2003-05-15,92.6,93.57,92.6,93.04,51.0611,810300,0.0,1.0
2003-05-16,93.48,93.76,92.95,93.72,51.4343,703900,0.0,1.0
2003-05-19,94.11,94.24,93.13,93.4,51.2586,817800,0.0,1.0
